,cms_contentId,tot,fav,skipped
6341,60019125.0,2.0,2.0,0.0
6342,141403475.0,92.0,46.0,35.0
6343,56448353.0,19.0,12.0,2.0
6344,378101712.0,10.0,8.0,2.0
6345,397657211.0,1.0,0.0,1.0
6346,203621544.0,6.0,0.0,0.0
6347,57803675.0,40.0,26.0,12.0
6348,9111186.0,29.0,23.0,1.0
6349,14519601.0,20.0,12.0,6.0
6350,177987116.0,101.0,26.0,51.0
6351,29879957.0,12.0,1.0,2.0
6352,124055129.0,198.0,55.0,96.0
6353,64188469.0,21.0,14.0,5.0
6354,218475341.0,2.0,2.0,0.0
6355,422266148.0,57.0,38.0,10.0
6356,125739438.0,28.0,18.0,7.0
6357,58318964.0,3.0,2.0,0.0
6358,6043723.0,6.0,0.0,0.0
6359,47532264.0,9.0,6.0,2.0
6360,106241227.0,1.0,0.0,0.0
6361,127400247.0,2.0,1.0,1.0
6362,121420810.0,3.0,3.0,0.0
6363,134940087.0,35.0,20.0,9.0
6364,177609634.0,31.0,15.0,16.0
6365,60413719.0,1.0,1.0,0.0
6366,67530761.0,19.0,10.0,7.0
6367,69670940.0,40.0,25.0,4.0
6368,477297547.0,3.0,1.0,0.0
6369,328822057.0,5.0,5.0,0.0
6370,226760140.0,2.0,2.0,0.0
6371,1403897.0,4.0,2.0,0.0
6372,170908774.0,4.0,4.0,0.0
6373,227598058.0,143.0,71.0,53.0
6374,165227358.0,16.0,13.0,0.0
6375,56707572.0,277.0,157.0,41.0
6376,66314805.0,5.0,4.0,1.0
6377,270731363.0,1.0,1.0,0.0
6378,6727152.0,11.0,7.0,2.0
6379,147223140.0,1.0,1.0,0.0
6380,136751627.0,1.0,0.0,0.0
6381,15538738.0,9.0,4.0,3.0
6382,233712950.0,6.0,4.0,0.0
6383,66591866.0,5.0,3.0,1.0
6384,15488658.0,1.0,1.0,0.0
6385,143646526.0,8.0,8.0,0.0
6386,274092056.0,1.0,0.0,1.0
6387,56931842.0,161.0,58.0,68.0
6388,184844050.0,641.0,203.0,207.0
6389,340095062.0,3.0,1.0,2.0
6390,383101367.0,1.0,1.0,0.0
6391,274754440.0,1.0,1.0,0.0
6392,175715139.0,1.0,1.0,0.0
6393,233705895.0,4.0,1.0,0.0
6394,518279073.0,291.0,149.0,118.0
6395,47532291.0,11.0,2.0,1.0
6396,56916160.0,49.0,23.0,15.0
6397,13377683.0,21.0,14.0,3.0
6398,177665508.0,1.0,0.0,0.0
6399,244901029.0,8.0,7.0,1.0
6400,188930516.0,4.0,2.0,0.0
6401,170444464.0,1.0,1.0,0.0
6402,170816837.0,25.0,19.0,0.0
6403,177469720.0,3.0,2.0,0.0
6404,6863329.0,165.0,82.0,54.0
6405,18314065.0,1.0,1.0,0.0
6406,247061742.0,1.0,1.0,0.0
6407,71913632.0,2.0,1.0,0.0
6408,258372195.0,1.0,0.0,0.0
6409,233126100.0,9.0,9.0,0.0
6410,77340941.0,4.0,0.0,4.0
6411,379950305.0,3.0,2.0,0.0
6412,18863442.0,2.0,2.0,0.0
6413,41183807.0,103.0,77.0,6.0
6414,105827593.0,2.0,0.0,0.0
6415,477297550.0,2.0,2.0,0.0
6416,368545783.0,750.0,362.0,292.0
6417,149509967.0,12.0,8.0,1.0
6418,14388280.0,31.0,12.0,13.0
6419,56802918.0,10.0,3.0,3.0
6420,163407131.0,3.0,3.0,0.0
6421,250529266.0,12.0,8.0,4.0
6422,260927072.0,4.0,3.0,0.0
6423,60018099.0,6.0,6.0,0.0
6424,118139663.0,2.0,1.0,1.0
6425,233711560.0,8.0,4.0,0.0
6426,124179281.0,230.0,45.0,160.0
6427,56935814.0,161.0,47.0,73.0
6428,159264974.0,65.0,43.0,10.0
6429,7078531.0,3.0,3.0,0.0
6430,21637729.0,13.0,13.0,0.0
6431,56929337.0,1.0,1.0,0.0
6432,538475002.0,12.0,9.0,1.0
6433,3256946.0,2.0,2.0,0.0
6434,233706299.0,7.0,3.0,1.0
6435,117812987.0,2.0,2.0,0.0
6436,232127065.0,74.0,24.0,37.0
6437,125768928.0,6.0,4.0,0.0
6438,117815441.0,32.0,24.0,1.0
6439,56932336.0,550.0,86.0,392.0
6440,18313985.0,1.0,1.0,0.0
6441,194075954.0,1390.0,728.0,393.0
6442,118500717.0,1.0,1.0,0.0
6443,189794700.0,152.0,48.0,81.0
6444,265960960.0,2.0,2.0,0.0
6445,229759710.0,6.0,4.0,1.0
6446,254188555.0,1.0,1.0,0.0
6447,149870297.0,3.0,3.0,0.0
6448,234453814.0,18.0,8.0,7.0
6449,66616301.0,14.0,8.0,5.0
6450,168475419.0,12.0,7.0,2.0
6451,160346168.0,75.0,39.0,22.0
6452,77340943.0,4.0,3.0,0.0
6453,29458159.0,2.0,2.0,0.0
6454,219922090.0,21.0,16.0,0.0
6455,204072300.0,29.0,23.0,3.0
6456,110943434.0,529.0,218.0,256.0
6457,23460286.0,8.0,8.0,0.0
6458,153107242.0,19.0,16.0,1.0
6459,30651003.0,10.0,7.0,2.0
6460,38848896.0,44.0,29.0,8.0
6461,552643186.0,1.0,1.0,0.0
6462,147223143.0,3.0,2.0,0.0
6463,471133810.0,327.0,259.0,51.0
